AcX,AcY,AcZ,Tmp,GyX,GyY,GyZ
19992,6132,368,27.12,15522,713,-14873
13840,-8152,368,27.26,32767,-999,-4285
16908,-5984,-208,27.26,-32768,-4942,13314
14308,1220,2140,27.21,28407,-3235,-15893
17064,-9424,-5420,27.21,7452,-1217,11991
16536,-280,-3168,27.12,-7195,-3067,8033
17180,-2044,-3972,27.17,9563,2462,-4018
15032,-7544,-3820,27.21,-18270,969,-2288
11276,-12840,-6256,27.21,-14768,2083,2137
8284,-2072,-5032,27.21,-2746,5539,-4555
13604,-5212,-2836,27.17,6106,6093,-2347
16284,-4472,636,27.12,-12092,3567,-846
18084,-5676,-824,27.21,-14598,7003,-3339
26168,5372,2708,27.12,7703,-11023,650
18820,-3748,-1648,27.21,2665,5147,5179
14488,-28488,-2600,27.17,-2975,7886,1510
21044,-6192,-1896,27.12,-6502,290,-1722
21108,-1256,-588,27.12,-13909,2243,-8293
18368,4252,-324,27.21,-6714,214,-6561
13112,-1116,-3116,27.12,367,-4641,-4974
14792,3892,-8136,27.17,-1594,-20313,-6096
7120,-2260,-15464,27.17,5536,-17110,10102
1732,2292,-13512,27.21,3278,-8406,12232
-580,100,-13448,27.17,-1836,-1830,12677
632,2940,-11832,27.21,-3612,-347,7315
4508,4276,-12852,27.12,285,6948,5934
448,3004,-15588,27.17,1406,677,-499
8592,4952,-15904,27.21,-953,460,-1453
3568,1476,-14616,27.21,-683,732,-469
3880,3772,-14328,27.17,1354,1715,-2325
6236,5076,-16100,27.17,646,-9553,5123
1704,4612,-16008,27.17,2925,-6471,-8937
3020,-168,-9408,27.12,2134,837,-11951
6732,3796,-6752,27.12,-19809,28552,-21911
17444,-492,-8364,27.21,3458,19128,-746
20404,-5560,-2148,27.12,9433,14534,5491
16980,-8416,2668,27.26,8479,5745,4848
17640,-4872,416,27.17,6591,-2165,1935
20084,-4048,1248,27.17,2030,-5682,-3013
15900,-7408,4404,27.21,2625,-5374,-5437
14856,-20164,-2840,27.07,-7274,-8536,10007
20928,-5272,6856,27.21,32767,3550,-11912
13400,-13940,-5108,27.12,-15327,-3662,4589
15884,1728,2192,27.17,-12931,7146,-4603
12764,-8692,-36,27.12,18826,-9861,-573
15304,-4736,-1720,27.21,-3929,4630,5971
14976,-3476,-3576,27.17,-7672,5177,2599
17640,-5100,-6476,27.12,-2635,5356,878
14292,-8852,-4424,27.17,-2637,-5352,1215
9696,-12536,-2020,27.17,-2991,-3347,1033
12964,-7552,-4668,27.26,2423,3475,1336
15364,-8528,-4456,27.21,-1589,-2813,-4797
13320,-8012,-7548,27.12,-5428,-2741,-1806
14612,-3584,-6888,27.12,-7479,1670,1007
13616,-1256,-3200,27.17,-22045,6184,3415
14228,-268,-6692,27.17,4371,6517,2600
15964,-7500,-8860,27.17,2265,7202,403
8424,1692,1768,27.26,194,2018,-457
21856,-7480,6948,27.17,-15878,-635,5949
19836,-432,4324,27.17,-14008,7584,3415
5572,-32768,19172,27.07,-2843,5309,-12946
-7780,18652,16724,27.26,-32768,10408,12654
24936,11928,-11804,27.17,-25001,-13308,-5101
19644,19796,-1524,27.21,-191,-922,-222
9240,15876,-1688,27.12,-8625,-5981,-4056
684,17180,140,27.21,-8339,-12035,-8313
-2944,15016,1756,27.21,-640,-987,-6860
580,18436,-1712,27.12,8356,-14439,3519
3548,16652,-9052,27.17,16251,-16337,5826
-10100,19164,-5796,27.21,22489,-13490,9960
-8920,6748,-10204,27.12,22095,-5851,4316
-5380,-4456,-12844,27.26,6496,642,7658
-5692,264,-12132,27.21,-2574,3193,6270
-3272,6212,-14428,27.21,-5349,2388,8956
-2680,8668,-14388,27.17,751,3702,-1213
4060,7636,-15212,27.17,-665,4810,-6059
2312,3512,-15100,27.12,-247,-1767,-4842
3684,1548,-15628,27.21,-903,554,2310
2716,8336,-15136,27.21,-2561,-6148,-254
-3796,7300,-10352,27.26,11320,-5365,-4776
-2320,6452,-11852,27.21,-768,1569,-8959
1052,-964,-8664,27.21,12087,11740,-20660
10176,-4012,-5952,27.17,-216,21688,-24494
20708,4412,-2268,27.26,-710,17889,-6986
22784,3520,3608,27.17,1852,18013,963
19840,2468,4720,27.21,-3336,4054,10972
20072,3472,-2040,27.12,4412,-10656,-773
21896,2708,5592,27.21,10862,-6015,-5574
13912,-3520,9916,27.07,30016,640,32767
22824,-4360,12920,27.17,32767,-16315,-2051
15264,-4744,1020,27.12,-32581,-5641,-86
13760,2984,648,27.26,-1780,-13735,9436
13312,-2608,676,27.21,15732,-2577,-9854
14800,-2120,-2636,27.07,-3644,120,10546
19156,3808,-3204,27.07,7262,11229,-2204
18368,-4616,-6300,27.21,-2636,5677,-7050
18892,-2780,616,27.21,-4911,-7681,6855
16668,348,-360,27.07,-4417,-4060,1273
12888,-4572,-548,27.21,-14738,-1125,-4283
18328,-4100,-4572,27.26,9620,7101,519
11916,-2360,-1632,27.12,-3180,1030,-3683
12668,-156,-1144,27.12,513,3964,1161
13744,-5476,5420,27.26,-15726,-9550,3440
23528,524,-2660,27.17,-10714,2791,5360
19696,32767,-3796,27.17,-3377,9130,-24406
-8224,-3324,4432,27.07,-32768,18225,4069
26708,-26532,-4680,27.21,1083,-5189,-332
20508,1744,-9704,27.12,10002,-5786,6171
19956,3156,1392,27.12,-15064,2262,661
20320,5544,-272,27.26,-15671,-4519,-2322
17440,2268,-516,27.21,-8691,2574,-277
13332,2996,-516,27.21,-670,-10500,7749
14512,2500,-5636,27.21,-4480,-15990,668
15412,5496,-10712,27.26,-5356,-19282,4488
5820,3064,-12992,27.17,-1567,-12856,6936
404,3148,-10020,27.17,3727,-8522,10011
796,1308,-11032,27.26,-4754,1064,7575
8024,1160,-19652,27.21,3068,606,1228
4800,3908,-16148,27.26,-1042,1374,1259
5972,2024,-15228,27.21,5711,-2272,-2954
7680,-724,-18548,27.07,-3832,1340,-1592
5544,8796,-12472,27.26,8752,-5691,1286
4512,724,-10328,27.17,6449,523,-9884
1796,-3672,-4400,27.21,1827,13377,-16451
15280,-10036,-1896,27.21,13081,22584,-4423
20944,-11696,2948,27.17,12658,17053,-2994
20220,-4148,5808,27.17,-2086,4671,-3350
20244,-2828,4092,27.21,-2814,-6625,-5426
25820,4912,1532,27.21,27010,7879,6984
14820,-11840,8640,27.17,13061,-19438,-20973
12016,-2364,44,27.17,2603,1153,6556
17572,-5828,-6384,27.26,14455,-9500,6184
12740,-8688,-6056,27.26,15612,-10375,-167
11980,-4092,-396,27.26,-24181,3719,10171
21620,-14364,13328,27.17,32767,-1437,-32768
19992,-12884,-448,27.21,-32768,-15305,13018
11516,-9388,1440,27.21,32767,-8393,-6255
16588,-6212,6532,27.21,11612,32767,-17956
21476,-32768,-16284,27.21,-21257,-6859,12814
25944,11904,10988,27.12,-32768,20209,8899
18636,2936,9244,27.12,32767,9034,-24097
13388,-29148,8964,27.12,32767,-7523,-32768
22612,-12092,11332,27.21,-26201,32014,23426
25440,-10172,-3584,27.21,-25550,32767,1566
11572,-532,-2268,27.26,16531,-8794,-1236
19704,-5300,-1300,27.21,26928,-5875,-2030
25288,-8696,2044,27.35,6129,-27783,14001
12068,2640,1156,27.21,9347,-5322,5464
15124,672,0,27.21,7883,8781,-2857
19460,-20328,-2760,27.17,-32768,-20124,-20079
11160,-12568,-5448,27.12,29565,-12723,4268
3800,-6508,840,27.21,6401,4499,-4203
12084,-3324,1236,27.26,12303,14787,-7832
22708,-8384,-2416,27.21,11777,-17144,3457
16536,-9716,-2576,27.17,-9807,-17806,-1312
12740,-1360,96,27.26,-12015,439,6898
18340,-1816,-3892,27.31,14495,5589,-4791
18220,-18072,-540,27.31,-20808,10609,14198
14744,2364,-2576,27.17,-16827,25546,2710
15660,-3272,3552,27.31,32767,24301,8824
19544,-5804,8548,27.17,15923,10376,2952
28368,-13004,9144,27.21,-23364,-32768,28326
8332,-2036,8200,27.17,178,-6972,-3309
19476,-6768,11380,27.26,6077,32767,-1220
22248,-10964,-5640,27.21,1044,16884,-16235
10824,-1176,2568,27.17,-14946,64,-4173
15844,-10084,4340,27.17,15960,10736,-16771
18748,-5608,6316,27.21,-1848,-7380,7087
20276,-8216,2260,27.26,-9331,-11156,11087
16504,-3624,3932,27.17,-15883,-6672,10633
11728,-2336,4680,27.17,3500,7281,-1723
24472,-9216,5332,27.21,14004,22520,-8775
15164,-10916,-492,27.17,-29328,-6651,-9217
11628,8660,12056,27.21,-21992,6056,-18020
18996,-10624,2584,27.21,-32768,13363,1851
22968,-1196,3812,27.17,-28475,9856,14261
17420,-180,4976,27.26,26700,7133,481
18872,-10412,1760,27.21,1061,11589,-9096
17692,-7796,1064,27.26,-3476,3725,-5116
23248,-5584,6192,27.21,-24122,-18351,7279
15704,-1444,4948,27.26,5189,-9625,-4178
13748,-2924,3692,27.21,5094,6875,919
17992,-6372,1156,27.26,-3394,8586,-5545
18508,-116,1964,27.31,-4094,3693,-2731
20772,1336,2916,27.26,10480,13688,-6815
13660,-12220,6712,27.21,-20154,-15319,-17395
16044,-1856,7664,27.21,584,-6309,9385
15308,936,4996,27.21,13109,2560,3257
15868,-10344,3776,27.26,8239,1219,4616
19796,-5548,4416,27.21,-164,-9449,9887
14472,-4944,5876,27.21,-20616,-6148,2676
17048,964,8136,27.21,-4101,953,-45
16416,-11952,3612,27.21,21324,9331,-8254
13912,-9948,3004,27.21,-12795,1551,5742
12616,-7672,2692,27.21,-2516,2439,-2225
16152,-10792,-300,27.12,7883,-3156,4100
18932,-2144,6100,27.17,10565,-12662,7953
14452,1208,4088,27.17,-10073,-929,-5078
17648,-6128,1388,27.31,19224,104,-3995
15712,-6548,1184,27.21,6945,-1217,-2683
15428,-2320,3708,27.21,-10043,-62,-652
13800,-2736,3760,27.21,315,8954,-3139
20084,-6744,356,27.12,8851,4915,-1438
17728,-5904,968,27.21,1289,-2602,3385
16508,-36,5400,27.21,-1780,-6789,241
14212,-6016,3336,27.21,-2240,3674,6295
14684,-9000,920,27.26,16165,2376,-1157
22648,-748,8384,27.21,227,-9213,-12737
14252,4152,1484,27.21,-11887,-8228,-22743
14844,10516,10688,27.17,24113,11405,1639
9696,4240,3816,27.17,4391,5365,2184
14936,10156,4,27.26,6319,-11277,8556
16760,1200,-4368,27.21,-2268,161,2524
17004,3640,3720,27.21,-11971,-7787,1749
13472,13572,14012,27.17,1164,6060,-19317
12292,6952,4716,27.21,-2787,-1813,-4300
8164,12728,9732,27.26,175,9236,-2778
6264,14136,4896,27.21,4070,3565,-2895
6332,16668,9728,27.21,7833,5620,459
4672,16992,8000,27.12,6095,5913,17198
6972,18148,7572,27.31,-3344,-5123,76
10036,13848,8504,27.17,-5702,-549,-7677
13168,10548,4424,27.21,-10036,-3697,5682
14548,6732,8280,27.21,-5805,-12149,11712
11688,-3380,5600,27.21,-11864,523,-13125
14828,4156,1120,27.26,-5985,-8713,-461
19144,5588,-4784,27.17,-10641,-7233,-5811
11468,12744,9704,27.31,18227,5299,-5105
14080,7124,3924,27.21,-5580,-9328,3815
14624,10700,-3944,27.17,-22933,-7414,-9740
3448,18444,4408,27.17,-10925,4243,-17009
